No.,VIN,stock_num,year,make,model,trim,odometer,color exterior,color interior,sale price,url,first date seen,last date seen,days in stock,
38,7SAXCBE68PF375325,B375325,2023,Tesla,Model X,Plaid,"52,219",Pearl White Multi-coat,Black,"$70,189.00",https://evauto.com/vehicle/used-2023-tesla-model-x-plaid-7saxcbe68pf375325/,09/09/2026,,1,
39,5YJ3E1EA8PF426083,T426083,2023,Tesla,Model 3,Rwd,"31,501",Red Multi-coat,Black,"$29,489.00",https://evauto.com/vehicle/used-2023-tesla-model-3-rwd-5yj3e1ea8pf426083/,09/09/2026,,1,
40,7SAYGAEE0PF682868,B682868,2023,Tesla,Model Y,Long Range,"44,408",Pearl White Multi-coat,Black,"$35,489.00",https://evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygaee0pf682868/,09/09/2026,,1,
41,7SAYGAEE0PF633718,T633718,2023,Tesla,Model Y,Long Range,"49,512",Deep Blue Metallic,Black,"$34,489.00",https://evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygaee0pf633718/,09/09/2026,,1,
42,5YJYGDEE4MF108672,T108672,2021,Tesla,Model Y,Long Range,"72,176",Gray,White,"$29,489.00",https://evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdee4mf108672/,09/09/2026,,1,
43,7SAYGDEF4NF373007,T373007,2022,Tesla,Model Y,Performance,"35,957",Red Multi-coat,Black,"$34,749.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef4nf373007/,09/09/2026,,1,
44,5YJ3E1EB6MF066803,L066803,2021,Tesla,Model 3,Long Range,"74,663",Pearl White Multi-coat,Black,"$27,098.00",https://evauto.com/vehicle/used-2021-tesla-model-3-long-range-5yj3e1eb6mf066803/,09/09/2026,,1,
45,7SAYGDEE1RA228310,T228310,2024,Tesla,Model Y,Long Range,"29,885",Gray,Black,"$39,599.00",https://evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdee1ra228310/,09/09/2026,,1,
46,7SAXCDE56NF349970,L349970L,2022,Tesla,Model X,Awd,"77,954",Pearl White Multi-coat,Cream,"$46,399.00",https://evauto.com/vehicle/used-2022-tesla-model-x-awd-7saxcde56nf349970/,09/09/2026,,1,
47,7SAYGAEE0RF208700,L208700,2024,Tesla,Model Y,Long Range,"75,804",Ultra Red,Black,"$34,989.00",https://evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygaee0rf208700/,09/09/2026,,1,
48,7SAYGDED8TA606105,T606105,2026,Tesla,Model Y,Rwd,"12,498",Gray,Black,"$43,399.00",https://evauto.com/vehicle/used-2026-tesla-model-y-rwd-7saygded8ta606105/,09/09/2026,,1,
49,5YJYGDEE3MF191723,T191723,2021,Tesla,Model Y,Long Range,"83,281",Deep Blue Metallic,Black,"$30,399.00",https://evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdee3mf191723/,09/09/2026,,1,
50,7SAYGDEE6PF661167,L661167,2023,Tesla,Model Y,Long Range,"37,601",Pearl White Multi-coat,Black,"$35,399.00",https://evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee6pf661167/,09/09/2026,,1,
51,5YJ3E1EC6NF266767,L266767,2022,Tesla,Model 3,Performance,"33,959",Red Multi-coat,White,"$32,898.00",https://evauto.com/vehicle/used-2022-tesla-model-3-performance-5yj3e1ec6nf266767/,09/09/2026,,1,
52,7SAYGDEF4NF493132,B493132L,2022,Tesla,Model Y,Performance,"42,889",Deep Blue Metallic,Black,"$31,489.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef4nf493132/,09/09/2026,,1,
53,5YJ3E1EC1MF874341,L874341,2021,Tesla,Model 3,Performance,"105,649",Gray,Black,"$23,999.00",https://evauto.com/vehicle/used-2021-tesla-model-3-performance-5yj3e1ec1mf874341/,09/09/2026,,1,
54,5YJ3E1EC9PF632272,B632272,2023,Tesla,Model 3,Performance,"40,291",Gray,White,"$34,489.00",https://evauto.com/vehicle/used-2023-tesla-model-3-performance-5yj3e1ec9pf632272/,09/09/2026,,1,
55,7SAYGDEF0NF542813,B542813,2022,Tesla,Model Y,Performance,"47,874",Gray,Black,"$33,189.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef0nf542813/,09/09/2026,,1,
56,7SAYGDEF0NF561426,L561426,2022,Tesla,Model Y,Performance,"62,630",Gray,White,"$34,489.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef0nf561426/,09/09/2026,,1,
57,7SAYGDEE6PF690250,T690250,2023,Tesla,Model Y,Long Range,"66,410",Solid Black,Black,"$32,999.00",https://evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee6pf690250/,09/09/2026,,1,
58,7SAYGDEE5PA198581,B198581,2023,Tesla,Model Y,Long Range,"45,852",Pearl White Multi-coat,Black,"$35,399.00",https://evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee5pa198581/,09/09/2026,,1,
59,7SAYGDEFXPF708001,T708001,2023,Tesla,Model Y,Performance,"62,701",Solid Black,Black,"$32,999.00",https://evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdefxpf708001/,09/09/2026,,1,
60,7SAYGAEE8NF552138,L552138,2022,Tesla,Model Y,Long Range,"31,600",Solid Black,White,"$35,489.00",https://evauto.com/vehicle/used-2022-tesla-model-y-long-range-7saygaee8nf552138/,09/09/2026,,1,
61,7SAYGDEE4NF481814,T481814,2022,Tesla,Model Y,Long Range,"58,703",Deep Blue Metallic,Black,"$30,689.00",https://evauto.com/vehicle/used-2022-tesla-model-y-long-range-7saygdee4nf481814/,09/09/2026,,1,
62,5YJ3E1EA8PF406691,T406691,2023,Tesla,Model 3,Rwd,"99,056",Gray,Black,"$22,999.00",https://evauto.com/vehicle/used-2023-tesla-model-3-rwd-5yj3e1ea8pf406691/,09/09/2026,,1,
63,7SAYGDEF1PF597502,T597502A,2023,Tesla,Model Y,Performance,"107,781",Pearl White Multi-coat,White/black,"$28,999.00",https://evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdef1pf597502/,09/09/2026,,1,
64,5YJ3E1EA9PF662872,T662872,2023,Tesla,Model 3,Rwd,"22,084",Gray,Black,"$29,489.00",https://evauto.com/vehicle/used-2023-tesla-model-3-rwd-5yj3e1ea9pf662872/,09/09/2026,,1,
65,5YJYGDEFXMF263994,T263994,2021,Tesla,Model Y,Performance,"73,351",Deep Blue Metallic,White,"$29,089.00",https://evauto.com/vehicle/used-2021-tesla-model-y-performance-5yjygdefxmf263994/,09/09/2026,,1,
66,7SAXCBE59NF360188,B360188C,2022,Tesla,Model X,Awd,"48,529",Solid Black,Black,"$64,489.00",https://evauto.com/vehicle/used-2022-tesla-model-x-awd-7saxcbe59nf360188/,09/09/2026,,1,
67,5YJYGDEE9MF110000,T110000,2021,Tesla,Model Y,Long Range,"92,701",Gray,Black,"$25,999.00",https://evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdee9mf110000/,09/09/2026,,1,
68,5YJYGDEE5MF274957,T274957,2021,Tesla,Model Y,Long Range,"72,152",Deep Blue Metallic,Black,"$29,098.00",https://evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdee5mf274957/,09/09/2026,,1,
69,7SAYGDEF6NF484660,B484660,2022,Tesla,Model Y,Performance,"75,436",Pearl White Multi-coat,Black,"$32,489.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef6nf484660/,09/09/2026,,1,
70,7G2CEHEEXRA042489,L042489,2024,Tesla,Cybertruck,Cyberbeast,"31,905",Stainless Steel,Black,"$86,189.00",https://evauto.com/vehicle/used-2024-tesla-cybertruck-cyberbeast-7g2ceheexra042489/,09/09/2026,,1,
