vin,stock_num,year,make,model,trim,odometer,color_exterior,color_interior,sale_price,url,first_date_seen,last_date_seen,days_in_stock,days_in_stock
7SAYGAEE8NF552138,L552138,2022,Tesla,Model Y,Long Range,31600,Solid Black,White,35489,https://evauto.com/vehicle/used-2022-tesla-model-y-long-range-7saygaee8nf552138/,09/09/2026,09/14/2026,5,5
7SAYGDEE4NF481814,T481814,2022,Tesla,Model Y,Long Range,58703,Deep Blue Metallic,Black,30689,https://www.evauto.com/vehicle/used-2022-tesla-model-y-long-range-7saygdee4nf481814/,09/09/2026,Available,5,5
5YJ3E1EA8PF406691,T406691,2023,Tesla,Model 3,Rwd,99056,Gray,Black,22999,https://www.evauto.com/vehicle/used-2023-tesla-model-3-rwd-5yj3e1ea8pf406691/,09/09/2026,Available,5,5
7SAYGDEF1PF597502,T597502A,2023,Tesla,Model Y,Performance,107781,Pearl White Multi-coat,White/black,28999,https://www.evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdef1pf597502/,09/09/2026,Available,5,5
5YJ3E1EA9PF662872,T662872,2023,Tesla,Model 3,Rwd,22084,Gray,Black,29489,https://www.evauto.com/vehicle/used-2023-tesla-model-3-rwd-5yj3e1ea9pf662872/,09/09/2026,Available,5,5
5YJYGDEFXMF263994,T263994,2021,Tesla,Model Y,Performance,73351,Deep Blue Metallic,White,29089,https://www.evauto.com/vehicle/used-2021-tesla-model-y-performance-5yjygdefxmf263994/,09/09/2026,Available,5,5
7SAXCBE59NF360188,B360188C,2022,Tesla,Model X,Awd,48577,Solid Black,Black,64489,https://www.evauto.com/vehicle/used-2022-tesla-model-x-awd-7saxcbe59nf360188/,09/09/2026,Available,5,5
5YJYGDEE9MF110000,T110000,2021,Tesla,Model Y,Long Range,92701,Gray,Black,25999,https://evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdee9mf110000/,09/09/2026,09/14/2026,5,5
5YJYGDEE5MF274957,T274957,2021,Tesla,Model Y,Long Range,72152,Deep Blue Metallic,Black,29098,https://www.evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdee5mf274957/,09/09/2026,Available,5,5
7SAYGDEF6NF484660,B484660,2022,Tesla,Model Y,Performance,75499,Pearl White Multi-coat,Black,31649,https://www.evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef6nf484660/,09/09/2026,Available,5,5
7G2CEHEEXRA042489,L042489,2024,Tesla,Cybertruck,Cyberbeast,31905,Stainless Steel,Black,86189,https://www.evauto.com/vehicle/used-2024-tesla-cybertruck-cyberbeast-7g2ceheexra042489/,09/09/2026,Available,5,5
7SAYGDEF8NF531736,T531736,2022,Tesla,Model Y,Performance,69421,Deep Blue Metallic,White,32489,https://www.evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef8nf531736/,09/09/2026,Available,5,5
7SAYGDEE1RA252672,T252672,2024,Tesla,Model Y,Long Range,31729,Gray,White,39299,https://www.evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdee1ra252672/,09/09/2026,Available,5,5
7SAXCDE56NF341156,B341156L,2022,Tesla,Model X,Awd,39610,Solid Black,Black,50999,https://www.evauto.com/vehicle/used-2022-tesla-model-x-awd-7saxcde56nf341156/,09/09/2026,Available,5,5
7SAYGDEE1PA161480,L161480,2023,Tesla,Model Y,Long Range,44823,Red Multi-coat,Black,35489,https://www.evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee1pa161480/,09/09/2026,Available,5,5
7G2CEHED7RA001437,B001437L,2024,Tesla,Cybertruck,Awd,55551,Stainless Steel,Black,67399,https://evauto.com/vehicle/used-2024-tesla-cybertruck-awd-7g2cehed7ra001437/,09/09/2026,09/14/2026,5,5
5YJ3E1EA7MF027838,T027838,2021,Tesla,Model 3,Standard Range Plus,93586,Gray,Black,20399,https://www.evauto.com/vehicle/used-2021-tesla-model-3-standard-range-plus-5yj3e1ea7mf027838/,09/09/2026,Available,5,5
5YJ3E1EB3NF206534,L206534,2022,Tesla,Model 3,Long Range,77331,Gray,Black,27999,https://evauto.com/vehicle/used-2022-tesla-model-3-long-range-5yj3e1eb3nf206534/,09/09/2026,09/14/2026,5,5
5YJ3E1EB8KF194523,T194523,2019,Tesla,Model 3,Long Range,100156,Red Multi-coat,Black,19749,https://www.evauto.com/vehicle/used-2019-tesla-model-3-long-range-5yj3e1eb8kf194523/,09/09/2026,Available,5,5
7SAYGDEF4NF539929,T539929,2022,Tesla,Model Y,Performance,60022,Solid Black,Black,31999,https://www.evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef4nf539929/,09/09/2026,Available,5,5
5YJ3E1EBXLF787575,T787575,2020,Tesla,Model 3,Long Range,59618,Pearl White Multi-coat,Black,26999,https://www.evauto.com/vehicle/used-2020-tesla-model-3-long-range-5yj3e1ebxlf787575/,09/09/2026,Available,5,5
7SAYGDEF9NF439132,T439132,2022,Tesla,Model Y,Performance,66634,Solid Black,Black,31498,https://www.evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef9nf439132/,09/09/2026,Available,5,5
5YJ3E1EB4NF187928,L187928,2022,Tesla,Model 3,Long Range,106270,Red Multi-coat,Black,24399,https://evauto.com/vehicle/used-2022-tesla-model-3-long-range-5yj3e1eb4nf187928/,09/09/2026,09/14/2026,5,5
7SAXCBE68NF331399,L331399L,2022,Tesla,Model X,Plaid,36239,Solid Black,Cream,60399,https://www.evauto.com/vehicle/used-2022-tesla-model-x-plaid-7saxcbe68nf331399/,09/09/2026,Available,5,5
