vin,stock_num,year,make,model,trim,drive,odometer,color_exterior,color_interior,sale_price,location_dealership,url,date_purchase,date_sold,days_in_stock
7SAYGDEE4PF887319,PF887319,2023,Tesla,Model Y,Long Range Dual Motor All-Wheel Drive | AWD,AWD,41026,Solid Black,Black,31999,PMRAuto American Fork,https://pmrauto.com/vehicles/2023-tesla-model-y-4/,09-17-2026,,
7SAYGDEE1PF922656,PF922656,2023,Tesla,Model Y,Long Range Dual Motor All-Wheel Drive | AWD,AWD,77165,Solid Black,Black,28999,PMRAuto American Fork,https://pmrauto.com/vehicles/2023-tesla-model-y/,09-17-2026,,
5YJYGDEE0MF295747,MF295747,2021,Tesla,Model Y,Long Range Dual Motor All-Wheel Drive,AWD,122179,Red Multi-Coat,Black,22999,PMRAuto American Fork,https://pmrauto.com/vehicles/2021-tesla-model-y-2/,09-17-2026,,
5YJ3E1EB2NF221543,NF221543,2022,Tesla,Model 3,Long Range Dual Motor All-Wheel Drive,AWD,112037,Solid Black,Black,21999,PMRAuto American Fork,https://pmrauto.com/vehicles/2022-tesla-model-3/,09-17-2026,,
5YJ3E1EA1JF050124,JF050124,2018,Tesla,Model 3,Long Range,RWD,176150,Silver Metallic,Black,13999,PMRAuto American Fork,https://pmrauto.com/vehicles/2018-tesla-model-3-2/,09-17-2026,,
5YJ3E1EB0LF800995,11846,2020,Tesla,Model 3,Long Range,AWD,51481,White,Interior Color: Black,26990,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24225511/Used-2020-Tesla-Model-3-Long-Range-for-sale-in-Draper-UT-84020,09-17-2026,,
5YJ3E1EB7LF628044,11755,2020,Tesla,Model 3,Long Range,AWD,103491,White,Interior Color: Black,19990,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24103167/Used-2020-Tesla-Model-3-Long-Range-for-sale-in-Draper-UT-84020,09-17-2026,,
5YJ3E1EB8MF876756,11823,2021,Tesla,Model 3,Long Range,AWD,47484,Black,Interior Color: Black,26990,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24265683/Used-2021-Tesla-Model-3-Long-Range-for-sale-in-Draper-UT-84020,09-17-2026,,
5YJ3E1EBXRF729622,11767,2024,Tesla,Model 3,,AWD,16660,Gray,Interior Color: Black,38990,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24009776/Used-2024-Tesla-Model-3-for-sale-in-Draper-UT-84020,09-17-2026,,
5YJSA1E21JF287101,11844,2018,Tesla,Model S,100D,AWD,112215,Black,Interior Color: CREAM,29990,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24265684/Used-2018-Tesla-Model-S-100D-for-sale-in-Draper-UT-84020,09-17-2026,,
5YJXCBE26JF141668,11805,2018,Tesla,Model X,100D,AWD,94607,White,Interior Color: CREAM,29990,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24113307/Used-2018-Tesla-Model-X-100D-for-sale-in-Draper-UT-84020,09-17-2026,,
7SAYGDEE2NF364734,11818,2022,Tesla,Model Y,Long Range,AWD,85744,Gray,Interior Color: Black,27990,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24157178/Used-2022-Tesla-Model-Y-Long-Range-for-sale-in-Draper-UT-84020,09-17-2026,,
7SAYGDEE8PA078032,11369,2023,Tesla,Model Y,,AWD,38096,White,Interior Color: Black,33490,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/22671416/Used-2023-Tesla-Model-Y-for-sale-in-Draper-UT-84020,09-17-2026,,
7SAYGAEE3PF807152,11826,2023,Tesla,Model Y,Long Range AWD,AWD,39926,Gray,Interior Color: Black,36990,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24265693/Used-2023-Tesla-Model-Y-Long-Range-AWD-for-sale-in-Draper-UT-84020,09-17-2026,,
7SAYGDEF5PF754352,11811,2023,Tesla,Model Y,Performance,AWD,36277,Blue,Interior Color: Black,37990,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24084523/Used-2023-Tesla-Model-Y-Performance-for-sale-in-Draper-UT-84020,09-17-2026,,
7SAYGAEE8PF823539,11841,2023,Tesla,Model Y,Long Range AWD,AWD,31427,White,Interior Color: Black,37990,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24265688/Used-2023-Tesla-Model-Y-Long-Range-AWD-for-sale-in-Draper-UT-84020,09-17-2026,,
7SAYGDEE7PF672095,11802,2023,Tesla,Model Y,Long Range,AWD,37567,White,Interior Color: White,35490,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24088489/Used-2023-Tesla-Model-Y-Long-Range-for-sale-in-Draper-UT-84020,09-17-2026,,
7SAYGAEE5PF881866,11855,2023,Tesla,Model Y,Long Range AWD,AWD,27742,Red,Interior Color: White,37990,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24265692/Used-2023-Tesla-Model-Y-Long-Range-AWD-for-sale-in-Draper-UT-84020,09-17-2026,,
7SAYGDEEXPF828856,11822,2023,Tesla,Model Y,Long Range,AWD,47539,Gray,Interior Color: Black,34990,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24206079/Used-2023-Tesla-Model-Y-Long-Range-for-sale-in-Draper-UT-84020,09-17-2026,,
7SAYGDEE6PF813139,11804,2023,Tesla,Model Y,,AWD,34734,Black,Interior Color: Black,35490,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24080624/Used-2023-Tesla-Model-Y-for-sale-in-Draper-UT-84020,09-17-2026,,
7SAYGAEE5PF908970,11835,2023,Tesla,Model Y,Long Range AWD,AWD,30054,Gray,Interior Color: Black,37990,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24265691/Used-2023-Tesla-Model-Y-Long-Range-AWD-for-sale-in-Draper-UT-84020,09-17-2026,,
7SAYGAEE4RF155693,11836,2024,Tesla,Model Y,Long Range AWD,AWD,34258,White,Interior Color: White,39990,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24265690/Used-2024-Tesla-Model-Y-Long-Range-AWD-for-sale-in-Draper-UT-84020,09-17-2026,,
7SAYGDEE8SA351897,11847,2025,Tesla,Model Y,Long Range,AWD,28296,Gray,Interior Color: Black,40990,"DriveCoolCars Draper,UT",https://drivecoolcars.com/vdp/24274124/Used-2025-Tesla-Model-Y-Long-Range-for-sale-in-Draper-UT-84020,09-17-2026,,
5YJ3E1EB0NF355774,NF355774,2022,Tesla,Model 3,Long Range Dual Motor All-Wheel Drive,AWD,81528,Midnight Silver Metallic,Black,22999,PMRAuto American Fork,https://pmrauto.com/vehicles/2022-tesla-model-3-3/,2026-09-17,,0
5YJ3E1EB2MF872721,MF872721,2021,Tesla,Model 3,Long Range Dual Motor All-Wheel Drive,AWD,105276,Pearl White Multi-Coat,Black,21999,PMRAuto American Fork,https://pmrauto.com/vehicles/2021-tesla-model-3/,2026-09-17,,0
7SAYGDEE5SF305883,SF305883,2025,Tesla,Model Y,Long Range Dual Motor All-Wheel Drive,AWD,11736,Stealth Grey,White/Black,39999,PMRAuto American Fork,https://pmrauto.com/vehicles/2025-tesla-model-y/,2026-09-17,,0
